name,id,place,year,exhibitorFirstName,exhibitorLastName,worksTotal
"World's Columbian Exposition, Chicago, 1893. New South Wales Courts",1,"King Street, Sydney",1893,,Daily Telegraph Newspaper,1095
"Centennial International Exhibition, Melbourne, 1888-89",2,"Sale, Gippsland [Victoria]",1888,R S,Overend,712
"Intercolonial Exhibition of Australasia, Melbourne, 1866-67",3,,1866,,Commissioners of Tasmania,632
"Philadelphia Centennial Exhibition, 1876",4,,1875,J Hubert,Newman,530
"Colonial and Indian Exhibition, London, 1886.",5,Beaumont. [S. A.],1886,S,"Davenport, Sir",514
"Victorian Intercolonial Exhibition, 1875, preparatory to the Philadelphia Exhibition, 1876",6,"Hobart Town, Tasmania",1875,Miss E,Blythe (sic.),480
"Agricultural Society of N.S.W. Exhibition, 1870",7,Yass (N.S.W.),1870,E,Paterson,451
"Royal Art Society of New South Wales Annual Exhibition. 15th, 1893",8,,1894,,,394
"Royal Art Society of New South Wales Annual Exhibition. 3rd, 1883",9,,1883,,,382
"Royal Art Society of New South Wales Annual Exhibition. 5th, 1884",10,,1884,,,374
"Victorian Artists Society, Melbourne, 1892",11,"Gordon Building, Flinders Lane West, Melbourne",1892,Charles Douglas,Richardson,357
"Royal Art Society of New South Wales Annual Exhibition. 16th, 1895",12,,1895,,,343
"Royal Art Society of New South Wales Annual Exhibition. 14th, 1893",13,,1893,,,327
"Society for the Promotion of the Fine Arts in Australia. Second Exhibition, 1849",14,,1849,,,318
"Agricultural Society of New South Wales Metropolitan Intercolonial Exhibition, May, 1869",15,Pitt St. [Sydney],1869,Thomas,Rowe,307
"Royal Art Society of New South Wales Annual Exhibition. 13th, 1892",16,,1892,,,305
"Royal Art Society of New South Wales Annual Exhibition. 6th, 1885",17,,1885,,,303
"Royal Art Society of New South Wales Annual Exhibition. 21st, 1900",18,,1900,,,302
"Royal Art Society of New South Wales Annual Exhibition. 7th, 1886",19,,1886,,,298
"Royal Art Society of New South Wales Annual Exhibition. 20th, 1899",20,,1899,,,294
"Royal Art Society of New South Wales Annual Exhibition. 19th, 1898",21,,1898,,,292
Agricultural Society of New South Wales Exhibition,22,,1874,,,292
Agricultural Society of New South Wales Exhibition,23,,1873,William,Bennett,286
"Royal Art Society of New South Wales, Annual Exhibition, 1883",24,,1883,,,281
London Exhibition of 1871. New South Wales Annexe,25,"19 Hunter Street, Sydney",1871,H,Brees,263
"Royal Art Society of New South Wales Annual Exhibition. 18th, 1888",26,,1897,,,255
"Royal Art Society of New South Wales Annual Exhibition. 17th, 1895",27,,1896,,,254
"Society for the Promotion of the Fine Arts in Australia. First Exhibition, 1847",28,,1847,,,254
"International Exhibition, London 1873. The Victorian Exhibition",29,,1873,Dr.,Drape,248
"Victorian Artists Society, Melbourne, 1893",30,"11 Elizabeth Street, Melbourne",1893,,"Reed, Smart and Tappin",234
