id,firstName,lastName,worksTotal,gender,image,imageUrl,wikipediaUrl,notes,thumbnailFile,wikiDataId
2588,,"Charles Potter, New South Wales Government Printer",227,male,,,,,,
2734,Marian Ellis,Rowan,174,female,,https://www.nla.gov.au/sites/default/files/blogs/national_library_of_australia_nla.obj-134351633_800x12001_2.jpg,https://en.wikipedia.org/wiki/Ellis_Rowan,https://www.nla.gov.au/content/ellis-rowan-artist-and-naturalist. SL Collection search: https://collection.sl.nsw.gov.au/search?offset=0&authorIds=dYzRlXkpMjlZ. SL Digital search https://collection.sl.nsw.gov.au/digital/search?groupResultsByItem=true&offset=0&authorIds=Yp5nJ4RdqyJW,2734.jpg,Q5365986
301,Conrad,Martens,171,male,,https://files02.sl.nsw.gov.au/fotoweb/thumbnails/300_300/3140/31409221.jpg,https://en.wikipedia.org/wiki/Conrad_Martens,https://collection.sl.nsw.gov.au/record/9gkdazm9. SL Collection search: https://collection.sl.nsw.gov.au/search?offset=0&authorIds=Y0ADqqPlmL011. SL Digital search: https://collection.sl.nsw.gov.au/digital/search?groupResultsByItem=true&offset=0&authorIds=Qy9Aaa4Wkdy33,301.jpg,Q1126926
2069,Arthur,Collingridge de Tourcey,166,male,,https://files02.sl.nsw.gov.au/fotoweb/thumbnails/300_300/9299/92999801.jpg,,Self portrait: https://collection.sl.nsw.gov.au/digital/VRGbVqdW8XmxJ. SL Collection search: https://collection.sl.nsw.gov.au/search?authorIds=pNyk6bbDNkOPA. SL Digital search: https://collection.sl.nsw.gov.au/digital/search?groupResultsByItem=true&authorIds=pZ50WDDKZ0Xod,2069.jpg,
2912,,Unknown,4050,,,,,,,
1385,James,Mather,135,male,,,,,,
2318,Albert J,Hanson,128,male,,,,,,Q4710535
1039,Alfred James,Daplyn,120,male,,,,,,Q4722938
2062,Alfred R,Coffey,118,male,,,,,,Q20981251
1999,James Howe,Carse,118,male,,,,,,Q6136316
1835,Tom (Thomas William),Roberts,116,male,,,,,1835.jpg,Q1291901
2036,Nicholas,Chevalier,116,male,,,,,2036.jpg,Q7025198
2480,William Lister,Lister,113,male,,,,,2480.jpg,Q2579743
2665,William Charles,Piguenit,109,male,,,,,2665.jpg,Q8016899
2384,Charles Henry,Hunt,103,male,,,,,,Q43131781
2241,Albert Henry,Fullwood,101,male,,,,,2241.jpg,Q4710452
1243,John Barr Clarke,Hoyte,100,male,,,,,,Q16058691
1532,Julian Rossi,Ashton,99,male,,https://files02.sl.nsw.gov.au/fotoweb/thumbnails/300_300/9642/96425215.jpg,,https://collection.sl.nsw.gov.au/digital/GVOe2QgrzKmM3. http://digital.sl.nsw.gov.au/delivery/DeliveryManagerServlet?embedded=true&toolbar=false&dps_pid=IE9642521&_ga=2.250645126.1663725814.1600647008-746918018.1517782111,1532.jpg,Q6306955
439,Thomas E,Richards,94,male,,,,,,
2070,George Alphonse,Collingridge de Tourcey,92,male,,,,,,Q21538013
454,Elizabeth,Parsons,91,female,,https://www.ssgreatbritain.org/sites/default/files/styles/hero_general/public/blog/elizabeth_parsons.jpg?itok=x0wQEXm0,,https://www.ssgreatbritain.org/about-us/blog/international-womens-day,454.jpg,
2824,Arthur Ernest,Streeton,89,male,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Untitled_%28Portrait_of_Arthur_Streeton%29.jpg,,,2824.jpg,Q709280
1386,John,Mather,84,male,,,,,,Q6247137
1412,Eliezer Levi,Montefiore,76,male,,,,https://www.ngv.vic.gov.au/essay/an-enthusiastic-amateur-of-the-arts-eliezer-levi-montefiore-in-melbourne-1853-71/,,Q21537242
2707,Charles Douglas,Richardson,74,male,,,,,,Q5076950
841,William,Andrews,70,male,,,,,,
2350,Charles Edward,Hern,70,male,,,,,,Q38084618
2106,Edith E.,Cusack,69,female,,,,https://trove.nla.gov.au/people/1485316,,Q83520166
2750,Jessie E,Scarvell,69,female,,,,"https://www.davidsonauctions.com.au/files/a_womans_impression_and_its_influences_2019_july.pdf, https://www.artgallery.nsw.gov.au/collection/works/6020/",,Q21329105
2091,Gordon,Coutts,67,male,,,,,,
2079,Charles Edward,Conder,66,male,,https://upload.wikimedia.org/wikipedia/commons/a/af/Charles_Conder_portrait.jpg,https://en.wikipedia.org/wiki/Charles_Conder,,2079.jpg,Q1284465
246,Ethel Anna,Stephens,65,female,,,,https://trove.nla.gov.au/people/1486484?c=people,,
2908,P Fletcher,Watson,65,male,,,,https://trove.nla.gov.au/people/1487537,,Q41347553
1523,John Skinner,Prout,61,male,,https://upload.wikimedia.org/wikipedia/commons/4/47/Portrait_of_John_Skinner_Prout.jpg,,,1523.jpg,Q6258102
245,Mary,Stoddard,60,female,,https://upload.wikimedia.org/wikipedia/commons/d/de/Mary_Stoddard%2C_c.1900.png,https://en.wikipedia.org/wiki/Mary_Stoddard,https://collections.tepapa.govt.nz/agent/2162,245.jpg,Q21536657
1537,William Henry,Raworth,56,male,,,,https://www.invaluable.com/artist/raworth-william-henry-ti39gbxaxt/sold-at-auction-prices/,,
712,Joseph Arthur,Bennett,55,male,,https://image.invaluable.com/housePhotos/Gowans/62/321362/H4189-L29305820.jpg,,https://www.invaluable.com/auction-lot/oil-on-glass-joseph-arthur-bennett-1853-1929-237-c-b830e7b017#,712.jpg,
1831,Walter Brookes,Spong,54,male,,,,,,
480,Edward,Roper,53,male,,https://samizdatpress.typepad.com/spring_2012_hamilton_arts/images/Edward-Roper-intro-1.jpg,,,480.jpg,
2600,John Hubert,Newman,53,male,,,,,,
2810,Percy Frederick Seaton,Spence,52,male,,http://acdoyle.ru/painters/spence_p/spence_p.jpg,,https://www.npg.org.uk/collections/search/person/mp07591/percy-frederick-seaton-spence,2810.jpg,
2077,Edward,"Combes

Combes",51,male,,https://digital.sl.nsw.gov.au/delivery/StreamGate?dps_dvs=1601517748937~890&dps_pid=FL1812025,,http://image.sl.nsw.gov.au/cgi-bin/ebindshow.pl?doc=px_d624/a1304;thumbs=1,,
2207,Paul Heinrich Matthias,Foelsche,49,male,,https://territorystories.nt.gov.au/jspui/retrieve/b5882ad9-800f-43e0-aca2-e89c180aba76/PH0057-0107.tif.preview.jpg,,,,
2547,Benjamin Edwin,Minns,48,male,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Self-Portrait_by_Benjamin_Edwin_Minns_%281913%29.jpg/808px-Self-Portrait_by_Benjamin_Edwin_Minns_%281913%29.jpg,,,2547.jpg,
2081,Ebenezer Wake,Cook,48,male,,,,https://www.artgallery.nsw.gov.au/collection/artists/cook-ebenezer-wake/,,
1981,John Wesley,Burtt,48,male,,https://www.beforefelton.com/wp-content/uploads/sites/2/2019/03/Unknown-Burtt-Sir-Charles-Darling-768x911.jpg,,May not be him,1981.jpg,
2506,,Marion & Co.,48,,,,,http://historiccamera.com/cgi-bin/librarium2/pm.cgi?action=app_display&app=datasheet&app_id=2442,,
1097,Francis Blower,Gibbes,47,male,,,,,,
2791,John,Smedley,46,male,,,,,,
1665,Alice E,Norton,45,female,,,,,,
275,Ernest William,Minchin,45,male,,,,,,
1884,George Rossi,Ashton,44,male,,https://media.artgallery.nsw.gov.au/thumbnails/collection_images/8/848%23%23S.jpg.484x605_q85.jpg,,,1884.jpg,
293,Harold,Brees,43,male,,,,,,
1600,James Whitley,Sayer,43,male,,https://www.wikitree.com/photo.php/3/33/Sayer-1046.jpg,,,1600.jpg,
703,Aline M,Cusack,42,,,,,,,
619,Harriet Victoria,Piguenit,42,female,,,,https://huni.net.au/#/record/DAAO***person***4da19f52b538b73d93015fef,,
306,Charles,Turner,41,male,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Charles_Henry_Turner14a.jpg,,,306.jpg,
2022,Ugo,Catani,40,male,,,,,,
932,Oswald Walters,Brierly,40,male,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Oswald_Walter_Brierly_c.1880.jpg,,http://digital.sl.nsw.gov.au/delivery/DeliveryManagerServlet?embedded=true&toolbar=false&dps_pid=FL517206,932.jpg,Q3357515
1364,Francis Prout,Mahony,39,male,,https://upload.wikimedia.org/wikipedia/commons/8/81/Mahony-Selfportrait.jpg,,,1364.jpg,
2870,John William,Tristram,39,male,,https://sabamist.com.au/img/tristram-img/J_W_Tristram.jpg,,,2870.jpg,
2198,Gerald,Fitzgerald,39,male,,https://sabamist.com.au/img/fitzgerald-img/GeraldFitzgerald.jpg,,,2198.jpg,
1493,John Ford,Paterson,39,male,,https://upload.wikimedia.org/wikipedia/commons/6/6b/John_Ford_Paterson.jpg,,https://media.artgallery.nsw.gov.au/thumbnails/collection_images/6/6963%23%23S.jpg.505x601_q85.jpg,1493.jpg,
607,William,Heron,38,male,,,,,,
2122,Henry Easom,Davies,38,male,,,,,,
2240,Florence Ada,Fuller,37,female,,https://www.portrait.gov.au/files/3/1/2/0/i5612.jpg,,Copyright?  https://mydailyartdisplay.files.wordpress.com/2017/08/florence-fuller.jpg,2240.jpg,Q15401514
1985,Abram-Louis,Buvelot,37,male,,https://upload.wikimedia.org/wikipedia/commons/b/b7/Portrait_of_Louis_Buvelot_1880_by_Julian_Ashton.jpg,,https://content.ngv.vic.gov.au/retrieve.php?size=1280&type=image&vernonID=3167,1985.jpg,
2172,Samuel,Elyard,37,male,,,,,,
2531,John,McFadyen,36,male,,,,,,
2862,Charles E S,Tindall,36,male,,,,,,
102,,Wilson & McKinnon,36,,,,,,,
2223,Joseph,Fowles,35,male,,https://upload.wikimedia.org/wikipedia/commons/d/d9/Joseph_Fowles_author_of_%22Sydney_in_1848%22.jpg,,,2223.jpg,
1618,James,Scurry,35,male,,,,,,
37,Henry,Rielly,35,male,,,,,,
300,Charles,Summers,35,male,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Charles_Summers_%281825-1878%29.jpg,,,300.jpg,
2227,Louis,Frank,35,male,,,,,,
31,James,Dalgarno,35,male,,,,,,
392,Miss Margaret,Thomas,34,female,,http://www.slv.vic.gov.au/pictoria/a/0/9/im/a09966.jpg,,? https://content.ngv.vic.gov.au/col-images/api/EPUB002506.tif/1280,392.jpg,Q6759960
2301,Henry,Gritten,34,male,,,,,,
2305,Johann Joseph Eugen (Eugene) von,Guerard,34,male,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Eugene_von_Guerard_%281811%E2%80%931901%29.jpg,,,2305.jpg,
2376,Henricus (Henry) Leonardus van den,Houten,34,male,,,,,,
518,Isaac,Whitehead,34,male,,,,,,
1931,Edward,Bevan,33,male,,https://collectionimages.npg.org.uk/std/mw93386/Edward-Latham-Bevan.jpg,,Copyright?,1931.jpg,
2426,Henry James,Johnstone,33,male,,https://upload.wikimedia.org/wikipedia/commons/0/03/3rdViscountCanterbury.jpg,,maybe not him? https://live.staticflickr.com/8337/8228501537_0cd9eaaa91_z.jpg,2426.jpg,
2730,Charles,Rolando,33,male,,,,,,
2780,Achille,Simonetti,33,male,,https://www.portrait.gov.au/files/0/f/0/c/i9177.jpg,,Copyright? http://collections.anmm.gov.au/people/17066,,
405,Eugene von,Guerard,33,male,,https://upload.wikimedia.org/wikipedia/commons/a/ac/Eugene_von_Guerard_%281811%E2%80%931901%29.jpg,,https://media.artgallery.nsw.gov.au/uploads/artists/49407285.jpg,,
