id,title,format,medium,notes,source,catalogueId,catalogueCallNumber,catalogueName,artistId,originalArtistId,artistFirstName,artistLastName,originalArtistLastName,artistGender,artistThumbnailFile,exhibitionId,exhibitionName,exhibitionPlace,exhibitionYear,originalExhibitionYear,mediumFormat,originalMediumFormat,price
16939,""" A Rose embowered in its own green leaves""  Shelley",Painting,Oil,For sale: Â£8.8.0,"Dictionary of Australian Artists, 1992",84,ML 706/V,"Victorian Artists Society. Catalogue of Exhibitions, Melbourne",2240,2240,Florence Ada,Fuller,Fuller,female,2240.jpg,58,"Victorian Artists Society, Melbourne","Planet Chambers, Collins Street East, Melbourne",1889,1889,Oil Painting,Oil Painting,8.4
10311,""" And all was Silence, Save the Seabirds' Cry""",Painting,Watercolour,Â£52.10.0,"McCulloch, Encyclopedia of Australian Art, 1994",57,ML FM4/8446,"Catalogue of exhibits in the Fifteenth Annual Exhibition of the Royal Art Society of New South Wales, 1894",2318,2318,Albert J,Hanson,Hanson,male,,8,"Royal Art Society of New South Wales Annual Exhibition. 15th, 1893",,1894,1894,Watercolour Painting,Watercolour Painting,52.5
14760,""" How happy could I be with either""",Painting,Oil,,"Dictionary of Australian Artists, 1992",82,DL 86/746 Pam,"Victorian Exhibition of Fine Arts, 1861. Catalogue",101,101,Frederick William,Woodhouse,Woodhouse,male,,59,"Victorian Exhibition of Fine Arts, 1861",,1861,1861,Oil Painting,Oil Painting,
10683,""" 'Spect I growed""",Painting,Oil,For sale: Â£21.0.0,"McCulloch, Encyclopedia of Australian Art, 1994",60,ML FM4/8446,"Catalogue of exhibits in the Sixteenth Annual Exhibition of the Royal Art Society of New South Wales, 1895",2106,2106,Edith E.,Cusack,Cusack,female,,12,"Royal Art Society of New South Wales Annual Exhibition. 16th, 1895",,1895,1895,Oil Painting,Oil Painting,21
11899,""" The Hillside""",Painting,Oil,Â£52.0.0,"McCulloch, Encyclopedia of Australian Art, 1994",66,ML FM4/8446,"Catalogue of exhibits in the Twentieth Annual Exhibition of the Royal Art Society of New South Wales, 1899, Sydney",1364,1364,Francis Prout,Mahony,Mahony,male,1364.jpg,20,"Royal Art Society of New South Wales Annual Exhibition. 20th, 1899",,1899,1899,Oil Painting,Oil Painting,52
16044,""" The Press of Sydney Past and present"" being two large pen and ink sketches, one giving fac-simile of the headligs of all newspapers ever published in Sydney from 1803 to 1888, and the second giving similar representattions of the existing Press of Sydne",Black and white art,,,None given,71,ML 606/N,"Catalogue of the New South Wales Courts of the World's Columbian Exposition, Chicago, 1893",2912,2912,,Unknown,Unknown,,,1,"World's Columbian Exposition, Chicago, 1893. New South Wales Courts","King Street, Sydney",1893,1893,Black and white art,Black and white art,
11920,""" The Spirit of True Love Leadeth Upwards""",Painting,Oil,Â£105.0.0,"McCulloch, Encyclopedia of Australian Art, 1994",66,ML FM4/8446,"Catalogue of exhibits in the Twentieth Annual Exhibition of the Royal Art Society of New South Wales, 1899, Sydney",1420,1420,Horace Millichamp,Moore-Jones,Moore-Jones,male,,20,"Royal Art Society of New South Wales Annual Exhibition. 20th, 1899",,1899,1899,Oil Painting,Oil Painting,105
16393,""" The Stockrider's Return""  Coloured supplement to the Sydney Mail, Christmas,1892.  Drawn by Percy Spence,Sydney and printed by Messrs Turner and Henderson, Sydney.",Newspaper,,"Proprietors of the ""Sydney Morning Herald,"" ""The Sydney Mail,"" and ""The Echo"".",None given,71,ML 606/N,"Catalogue of the New South Wales Courts of the World's Columbian Exposition, Chicago, 1893",2810,2810,Percy Frederick Seaton,Spence,Spence,male,2810.jpg,1,"World's Columbian Exposition, Chicago, 1893. New South Wales Courts","Pitt and Hunter Streets, Sydney",1893,1893,Newspaper,Newspaper,
4408,"""A ""First Rate"" taking in Stores"", from a woodcut after J.M.W. Turner",Painting,Watercolour,,ANG authority file,35,ML 042/P176,"Official catalogue of the Victorian Exhibition, opened 6 November 1872, part of the London International Exhibition",1064,1064,D R,Drape,Drape,,,29,"International Exhibition, London 1873. The Victorian Exhibition",,1873,1873,Watercolour Painting,Watercolour Painting,
10394,"""A Coast all cliff and deep in-running cave""",Painting,Watercolour,Â£21.0.0,"McCulloch, Encyclopedia of Australian Art, 1994",57,ML FM4/8446,"Catalogue of exhibits in the Fifteenth Annual Exhibition of the Royal Art Society of New South Wales, 1894",1385,1385,James,Mather,Mather,male,,8,"Royal Art Society of New South Wales Annual Exhibition. 15th, 1893",,1894,1894,Watercolour Painting,Watercolour Painting,21
